cs_run,exp_id,expname,ref_exp_id,ref_expname,pair_method,time_rel_min,n_cells,ridge_peak_um_p25,ridge_peak_um_p50,ridge_peak_um_p75,ridge_mean_um_p25,ridge_mean_um_p50,ridge_mean_um_p75,total_nf_l_p25,total_nf_l_p50,total_nf_l_p75
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,5.167,2,173.0917773931104,272.1304618232656,371.1691462534207,167.6392491066199,267.85395362385907,368.0686581410983,105.67469748493309,137.85394206353652,170.03318664213995
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,5.333,2,173.0917773931104,272.1304618232656,371.1691462534207,168.45678396267658,268.2205271643003,367.98427036592403,96.03673344335654,121.69784213163294,147.35895081990935
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,5.5,2,173.0917773931104,272.1304618232656,371.1691462534207,169.12808634795135,268.4261579561428,367.7242295643342,89.70997518374092,109.41771264643975,129.12545010913857
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,5.667,2,173.0917773931104,272.1304618232656,371.1691462534207,169.66416295864425,268.2454508076576,366.82673865667095,77.67595438991751,89.1836331867794,100.6913119836413
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,5.833,2,173.0917773931104,272.1304618232656,371.1691462534207,170.11800425886625,267.8191642843054,365.52032430974447,65.32725012673765,67.91037190536007,70.49349368398248
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,6.0,2,173.0917773931104,272.1304618232656,371.1691462534207,169.70581737564243,265.4791218933911,361.2524264111398,45.38155497779722,49.39040617914948,53.39925738050174
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,6.167,2,173.0917773931104,272.1304618232656,371.1691462534207,168.00790938174606,260.5374679303628,353.06702647897964,30.926709837853256,39.12632431431122,47.325938790769186
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,6.333,2,173.0917773931104,272.1304618232656,371.1691462534207,163.79176801565586,250.492194207002,337.19262039834814,22.94532579669331,33.41379815523852,43.88227051378372
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,6.5,2,173.0917773931104,272.1304618232656,371.1691462534207,158.87088717654598,238.97674772188793,319.08260826722983,18.11313282953394,28.754783856508862,39.396434883483785
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,6.667,2,173.0917773931104,272.1304618232656,371.1691462534207,150.52936979728884,220.6350833825935,290.7407969678982,16.44208072024617,27.65942730738233,38.87677389451849
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,6.833,2,173.0917773931104,272.1304618232656,371.1691462534207,143.16993207881433,204.27485103259096,265.3797699863676,15.47108075911887,26.864200722185295,38.25732068525173
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,7.0,1,93.3010506338492,93.3010506338492,93.3010506338492,83.68631515820437,83.68631515820437,83.68631515820437,47.81327085162104,47.81327085162104,47.81327085162104
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,7.167,1,93.3010506338492,93.3010506338492,93.3010506338492,85.25213675567069,85.25213675567069,85.25213675567069,46.53703117849431,46.53703117849431,46.53703117849431
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,7.333,1,93.3010506338492,93.3010506338492,93.3010506338492,86.77421838316255,86.77421838316255,86.77421838316255,45.32792078469453,45.32792078469453,45.32792078469453
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,7.5,1,93.3010506338492,93.3010506338492,93.3010506338492,88.23300235324966,88.23300235324966,88.23300235324966,43.79916866072172,43.79916866072172,43.79916866072172
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,7.667,1,93.3010506338492,93.3010506338492,93.3010506338492,89.57804073524788,89.57804073524788,89.57804073524788,41.015625031936885,41.015625031936885,41.015625031936885
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,7.833,1,93.3010506338492,93.3010506338492,93.3010506338492,90.73183107897562,90.73183107897562,90.73183107897562,40.74072209369668,40.74072209369668,40.74072209369668
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,8.0,1,93.3010506338492,93.3010506338492,93.3010506338492,91.72946452702911,91.72946452702911,91.72946452702911,40.46393210038511,40.46393210038511,40.46393210038511
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,8.167,1,93.3010506338492,93.3010506338492,93.3010506338492,92.62733325241155,92.62733325241155,92.62733325241155,39.56728515943683,39.56728515943683,39.56728515943683
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,8.333,1,93.3010506338492,93.3010506338492,93.3010506338492,93.46683356214771,93.46683356214771,93.46683356214771,36.77807520685849,36.77807520685849,36.77807520685849
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,8.5,1,93.3010506338492,93.3010506338492,93.3010506338492,94.24965890508098,94.24965890508098,94.24965890508098,34.605119189804356,34.605119189804356,34.605119189804356
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,8.667,1,93.3010506338492,93.3010506338492,93.3010506338492,95.04424268934127,95.04424268934127,95.04424268934127,33.32348624893986,33.32348624893986,33.32348624893986
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,8.833,1,93.3010506338492,93.3010506338492,93.3010506338492,95.94126392599433,95.94126392599433,95.94126392599433,32.95396522774171,32.95396522774171,32.95396522774171
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,9.0,1,93.3010506338492,93.3010506338492,93.3010506338492,97.00116747773413,97.00116747773413,97.00116747773413,32.39103048212658,32.39103048212658,32.39103048212658
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,9.167,1,93.3010506338492,93.3010506338492,93.3010506338492,98.21735716277334,98.21735716277334,98.21735716277334,31.84909031074017,31.84909031074017,31.84909031074017
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,9.333,1,93.3010506338492,93.3010506338492,93.3010506338492,99.61793278967902,99.61793278967902,99.61793278967902,31.51032671875554,31.51032671875554,31.51032671875554
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,9.5,1,93.3010506338492,93.3010506338492,93.3010506338492,101.24354362957988,101.24354362957988,101.24354362957988,30.2878720505204,30.2878720505204,30.2878720505204
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,9.667,1,93.3010506338492,93.3010506338492,93.3010506338492,103.04783622480984,103.04783622480984,103.04783622480984,29.827023748221002,29.827023748221002,29.827023748221002
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,9.833,1,93.3010506338492,93.3010506338492,93.3010506338492,105.05040153597317,105.05040153597317,105.05040153597317,29.21785424239318,29.21785424239318,29.21785424239318
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,10.0,1,117.55195767089393,117.55195767089393,117.55195767089393,107.06087600432916,107.06087600432916,107.06087600432916,29.107320039635372,29.107320039635372,29.107320039635372
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,10.167,1,117.55195767089393,117.55195767089393,117.55195767089393,108.94432093899871,108.94432093899871,108.94432093899871,27.940007637989353,27.940007637989353,27.940007637989353
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,10.333,1,117.55195767089393,117.55195767089393,117.55195767089393,110.66502454775842,110.66502454775842,110.66502454775842,27.14503726982715,27.14503726982715,27.14503726982715
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,10.5,1,117.55195767089393,117.55195767089393,117.55195767089393,112.25662793693861,112.25662793693861,112.25662793693861,26.14718120097491,26.14718120097491,26.14718120097491
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,10.667,1,117.55195767089393,117.55195767089393,117.55195767089393,113.58338141368267,113.58338141368267,113.58338141368267,25.584380178229765,25.584380178229765,25.584380178229765
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,10.833,1,117.55195767089393,117.55195767089393,117.55195767089393,114.6692593029764,114.6692593029764,114.6692593029764,24.490483763408804,24.490483763408804,24.490483763408804
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,11.0,1,117.55195767089393,117.55195767089393,117.55195767089393,115.51734300298024,115.51734300298024,115.51734300298024,24.333264017767117,24.333264017767117,24.333264017767117
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,11.167,1,117.55195767089393,117.55195767089393,117.55195767089393,116.2226348744592,116.2226348744592,116.2226348744592,23.656218538671364,23.656218538671364,23.656218538671364
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,11.333,1,117.55195767089393,117.55195767089393,117.55195767089393,116.80157922149111,116.80157922149111,116.80157922149111,23.02575586248402,23.02575586248402,23.02575586248402
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,11.5,1,117.55195767089393,117.55195767089393,117.55195767089393,117.27749291429717,117.27749291429717,117.27749291429717,22.801101457088404,22.801101457088404,22.801101457088404
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,11.667,1,117.55195767089393,117.55195767089393,117.55195767089393,117.70054864594276,117.70054864594276,117.70054864594276,22.490161977688917,22.490161977688917,22.490161977688917
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,11.833,1,117.55195767089393,117.55195767089393,117.55195767089393,118.14849903085792,118.14849903085792,118.14849903085792,22.025818866346995,22.025818866346995,22.025818866346995
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,12.0,1,117.55195767089393,117.55195767089393,117.55195767089393,118.58217440462307,118.58217440462307,118.58217440462307,21.8334376325562,21.8334376325562,21.8334376325562
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,12.167,1,117.55195767089393,117.55195767089393,117.55195767089393,119.04690332577137,119.04690332577137,119.04690332577137,21.31822241866259,21.31822241866259,21.31822241866259
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,12.333,1,117.55195767089393,117.55195767089393,117.55195767089393,119.58760208888263,119.58760208888263,119.58760208888263,20.757561823899007,20.757561823899007,20.757561823899007
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,12.5,1,117.55195767089393,117.55195767089393,117.55195767089393,120.19059396831327,120.19059396831327,120.19059396831327,20.14863574531416,20.14863574531416,20.14863574531416
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,12.667,1,117.55195767089393,117.55195767089393,117.55195767089393,120.91077414927499,120.91077414927499,120.91077414927499,19.736630035786725,19.736630035786725,19.736630035786725
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,12.833,1,117.55195767089393,117.55195767089393,117.55195767089393,121.70314919279666,121.70314919279666,121.70314919279666,19.273662799404626,19.273662799404626,19.273662799404626
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,13.0,1,117.55195767089393,117.55195767089393,117.55195767089393,122.60138513040015,122.60138513040015,122.60138513040015,18.892825993522216,18.892825993522216,18.892825993522216
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,13.167,1,117.55195767089393,117.55195767089393,117.55195767089393,123.64101680774401,123.64101680774401,123.64101680774401,18.546803801251137,18.546803801251137,18.546803801251137
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,13.333,1,117.55195767089393,117.55195767089393,117.55195767089393,124.76615024429172,124.76615024429172,124.76615024429172,18.66401846083271,18.66401846083271,18.66401846083271
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,13.5,1,117.55195767089393,117.55195767089393,117.55195767089393,126.07957373303869,126.07957373303869,126.07957373303869,18.39569466859694,18.39569466859694,18.39569466859694
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,13.667,1,117.55195767089393,117.55195767089393,117.55195767089393,127.53296789428751,127.53296789428751,127.53296789428751,17.971698600499764,17.971698600499764,17.971698600499764
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,13.833,1,117.55195767089393,117.55195767089393,117.55195767089393,129.1631413978063,129.1631413978063,129.1631413978063,17.93430823861426,17.93430823861426,17.93430823861426
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,14.0,1,117.55195767089393,117.55195767089393,117.55195767089393,131.03439309606006,131.03439309606006,131.03439309606006,17.372539563950323,17.372539563950323,17.372539563950323
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,14.167,1,117.55195767089393,117.55195767089393,117.55195767089393,132.80871755970045,132.80871755970045,132.80871755970045,17.40789476141969,17.40789476141969,17.40789476141969
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,14.333,1,148.10618592591032,148.10618592591032,148.10618592591032,134.6848813845451,134.6848813845451,134.6848813845451,17.20443656069837,17.20443656069837,17.20443656069837
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,14.5,1,148.10618592591032,148.10618592591032,148.10618592591032,136.4332403188942,136.4332403188942,136.4332403188942,17.293351153663593,17.293351153663593,17.293351153663593
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,14.667,1,148.10618592591032,148.10618592591032,148.10618592591032,138.04093742175323,138.04093742175323,138.04093742175323,17.383636385079047,17.383636385079047,17.383636385079047
