cs_run,exp_id,expname,ref_exp_id,ref_expname,pair_method,station_idx,window_start,window_end,phase_rate,process_label,mean_rate_diff,positive_fraction
cs-eriswil__20260304_110254,0,20260304110446,2,20260304110829,same_shape,0,2023-01-25T12:30:00,2023-01-25T12:32:30,rate_N_F,Contact Freezing (ice),0.0,0.0
cs-eriswil__20260304_110254,0,20260304110446,2,20260304110829,same_shape,0,2023-01-25T12:30:00,2023-01-25T12:32:30,rate_N_F,Deposition (ice),-0.00010276961166149383,0.0
cs-eriswil__20260304_110254,0,20260304110446,2,20260304110829,same_shape,0,2023-01-25T12:30:00,2023-01-25T12:32:30,rate_N_F,Immersion Freezing (ice),0.0028318319700701977,0.9998500407537421
cs-eriswil__20260304_110254,0,20260304110446,2,20260304110829,same_shape,0,2023-01-25T12:30:00,2023-01-25T12:32:30,rate_N_F,Melting (ice),0.0,0.0
cs-eriswil__20260304_110254,0,20260304110446,2,20260304110829,same_shape,0,2023-01-25T12:30:00,2023-01-25T12:32:30,rate_N_F,Riming (ice),4.2472307891392304e-07,0.00014995924625803766
cs-eriswil__20260304_110254,0,20260304110446,2,20260304110829,same_shape,0,2023-01-25T12:30:00,2023-01-25T12:32:30,rate_N_W,Breakup (liq),0.0,0.0
cs-eriswil__20260304_110254,0,20260304110446,2,20260304110829,same_shape,0,2023-01-25T12:30:00,2023-01-25T12:32:30,rate_N_W,Condensation (liq),33480.31043596636,0.9996227556089572
cs-eriswil__20260304_110254,0,20260304110446,2,20260304110829,same_shape,0,2023-01-25T12:30:00,2023-01-25T12:32:30,rate_N_W,Drop Collision (liq),-0.419117227455331,0.0
cs-eriswil__20260304_110254,0,20260304110446,2,20260304110829,same_shape,0,2023-01-25T12:30:00,2023-01-25T12:32:30,rate_N_W,Drop Ins Collision (liq),0.0,0.0
cs-eriswil__20260304_110254,0,20260304110446,2,20260304110829,same_shape,0,2023-01-25T12:30:00,2023-01-25T12:32:30,rate_N_W,Homogeneous Freezing (liq),0.0,0.0
cs-eriswil__20260304_110254,0,20260304110446,2,20260304110829,same_shape,0,2023-01-25T12:30:00,2023-01-25T12:32:30,rate_N_W,Melting (liq),0.0,0.0
cs-eriswil__20260304_110254,0,20260304110446,2,20260304110829,same_shape,0,2023-01-25T12:30:00,2023-01-25T12:32:30,rate_N_W,Riming (liq),12.635025814964905,0.0003772443910429641
cs-eriswil__20260304_110254,0,20260304110446,2,20260304110829,same_shape,1,2023-01-25T12:30:00,2023-01-25T12:32:30,rate_N_F,Aggregation (ice),0.0,0.0
cs-eriswil__20260304_110254,0,20260304110446,2,20260304110829,same_shape,1,2023-01-25T12:30:00,2023-01-25T12:32:30,rate_N_F,Contact Freezing (ice),0.0,0.0
cs-eriswil__20260304_110254,0,20260304110446,2,20260304110829,same_shape,1,2023-01-25T12:30:00,2023-01-25T12:32:30,rate_N_F,Deposition (ice),0.0005031979415551756,0.8897176209439567
